Organisation,KVK number
DevRepublic B.V.,008181059
Devtaar B.V.,063746492
Dexerials Europe B.V.,034077992
Dexter Energy Services B.V.,065426479
Dexxon Data Media and Storage B.V.,029031645
DFDS Distri Holding B.V.,009140062
DFDS Logistics Winterswijk B.V.,008035771
DFE Pharma B.V.,017191677
DFFRNT LAB B.V.,066678285
DFM N.V.,031018376
DFS Netherlands,024099513
DGB-Earth Sciences B.V.,008111182
DGMR Bouw B.V.,009142407
DGN Publishers B.V.,030168362
DH Infrastructure Europe B.V.,058406360
DH Netherlands B.V.,054025990
DHI Investment B.V.,032127861
DHL Express,034052070
DHL Finance Services B.V.,014064670
DHL Freight (Netherlands) B.V.,030130193
DHL Global Forwarding (Netherlands) B.V.,034064736
DHL Parcel (Netherlands) B.V.,030076845
DHL Supply Chain (Netherlands) B.V.,024168570
DHL Supply Chain Management B.V.,024270249
DHR International Holland B.V.,034359358
DI Blue B.V.,051110288
Diaconie van de Protestantse Gemeente,034341674
Diagenius B.V.,083145109
Diageo Brands,034138436
Diageo Nederland B.V.,030048592
DialogueTrainer B.V.,066655404
Diamond Chubu Europe B.V.,076464024
Diamond Flower Information (NL) B.V.,024307230
Diamond-fms B.V.,017266193
DIANA FEA B.V.,027252655
Diaset B.V.,030184982
Dibanisa International B.V.,083630961
Dicolor Optoelectronics B.V.,069240388
Diebold Nixdorf Global Solutions B.V.,058379401
Dienst Uitvoering Onderwijs,050973029
Dierenkliniek Hoogveld B.V.,078069629
Dieseko Group B.V.,024443483
DIF Management B.V.,034312941
digi.bio B.V.,068119127
Digibende Den Bosch B.V.,092179150
Digidentity B.V.,027322631
DigiGamma B.V.,071416269
DIGIO ICT B.V.,017118274
Digireg Netherlands B.V.,065739345
DigiSure B.V.,082200378
Digital & Media Solutions B.V.,009130205
Digital Decisions B.V.,068518072
Digital Matter B.V.,080798721
Digital Power Technologies B.V.,083373616
Digital Realty Netherlands B.V.,066632463
Digital Revolution B.V.,033267823
Digital Survival Company B.V.,072043466
DigitalOcean EU B.V.,060912006
Dimaros B.V.,074959360
Dimebox B.V.,061212563
Dimenco B.V.,052677001
Dimensio Verpakkingen B.V.,033236408
Dimerce B.V.,076153282
Dimerco Express Netherlands B.V.,034104688
Dinel Construction B.V.,024326419
Dinerate B.V.,055058590
DIQQ B.V.,068646852
DiReC B.V.,055206999
Direct Business B.V.,063117096
Direct Current B.V.,034350049
Direct Impact B.V.,067064043
Direct Maintenance B.V.,014068636
Direct Source International B.V.,053652037
Direct2Pet Europe B.V.,034309053
Directness B.V.,034260642
DISA Nederland B.V.,052542890
disapo.de Apotheke B.V.,077622103
Discogs B.V.,063544962
Discord Netherlands B.V.,082229864
Discovery Communications Benelux B.V.,033295591
Distimo Holding B.V.,030266181
Distro Energy B.V.,084978740
Ditio B.V.,052367002
DIV B.V.,061357413
Divardy Bakery Services B.V.,030210429
Diversey Europe Operations B.V.,053934504
Divitel B.V.,008075305
Dixstone Netherlands N.V.,033277773
Dizain-Sync B.V.,008126607
Djairam Consultancy B.V.,089662660
Djeeni B.V.,073663646
DJI Europe B.V.,061920541
DK-Schweizer Europe B.V.,018080425
DK-Schweizer Nederland B.V.,018068763
DLA Piper Nederland N.V.,034207878
DLF B.V.,016018887
DLM Finance B.V.,056689276
DMC Invest B.V.,071625356
DMC Production B.V.,090833546
DMEGC Renewable Energy B.V.,084113081
Dmissi Electro B.V.,034202817
DMM Services B.V.,080349927
DMS Insight Works,071817301
DMT Modular Constructions B.V.,076956415
DNA.inc B.V.,087066491
dnata B.V.,034025985
dNM Interim B.V.,053838866
DNP Imagingcomm Europe B.V.,034305107
DNV Business Assurance B.V.,024273935
DNV Netherlands B.V.,009006404
DNVO Consulting B.V.,017172308
Docflow B.V.,074293087
Docklab B.V.,069159785
DocMorris N.V.,014066093
DOCS International B.V.,030161853
Documentation Generation B.V.,034133016
Doedijns B.V.,034139835
Döhler Holland B.V.,020033050
Dole Europe B.V.,020139966
Dole Packaged Foods B.V.,078513499
Dollar Shave Club B.V.,069517525
Domino's Pizza Netherlands B.V.,018048127
Domino's Pizza Overseas Franchising B.V.,034270574
Dong-I.T. B.V.,055184391
Doral Hydrogen Europe B.V.,090606019
Dorf Ketal B.V.,020131276
Dormac Services B.V.,037097816
Dornan Engineering Limited,060572663
Dosign Engineering B.V.,024157016
Dosign International B.V.,063718219
DOT Robot B.V.,070144583
DoubleDividend Management B.V.,030199843
Doublepress Products B.V.,005038676
Dow Benelux B.V.,024104547
Dow Europe Holding B.V.,021018156
Downstream Amsterdam B.V.,056480296
Dozon B.V.,009058380
DP World Inland B.V.,024171394
DP World Logistics Europe B.V.,075781735
DP World Logistics Netherlands B.V.,008020381
DP6 architectuurstudio B.V.,050592947
DPA Engineering,051255006
DPA Legal B.V.,032118148
dpdk,027243574
DPG Media B.V.,034172906
DPI Animation House B.V.,027171527
DPM Services B.V.,086219383
DPO Consultancy B.V.,069197059
DPP B.V.,051994305
DPR Construction B.V.,070522995
DPS Engineering (Netherlands) B.V.,028078815
DQ&A Group B.V.,052850404
DQ&A Nederland B.V.,027293855
Dr Martens Airwair Netherlands B.V.,060235616
Dr. Lange Nederland B.V.,011021301
Dr. Oetker Nederland B.V.,030125535
Dr. Reddy's Research and Development B.V.,028075073
Draka Comteq Fibre B.V.,017129697
Drake & Farrell B.V.,053478509
Dream Broker B.V.,068154941
Dream Chip Technologies B.V.,074318535
Dredge Yard B.V.,053338103
Dredging and Contracting Rotterdam B.V.,034062952
Drees & Sommer Netherlands B.V.,034107839
Drie Sterren Infra B.V.,070041342
Drieam B.V.,074263544
Driessen Catering Equipment B.V.,037041368
Driessen Overheid B.V.,017106428
Drietech & Verhoef Ingenieursbureau B.V.,076340988
DRIFT,060395575
Drillster B.V.,034245954
Driscoll's of Europe B.V.,020124631
DRN B.V.,050791125
DROM,068637586
Drukkerij C.V.,089239040
Drukwerkdeal.nl B.V.,008119373
DRW Europe Derivatives B.V.,072007443
DS landschapsarchitecten,034303902
DS People B.V.,063134462
DS Smith Packaging Nederland Locatie Eerbeek,008046917
DSG diensten B.V.,030232830
DSM NL Services B.V.,014028072
DSPA B.V.,062109413
DSV Air & Sea Nederland B.V.,034065452
DSV Road B.V.,012015337
DSV Road Holding N.V.,012018468
DSV Solutions Nederland B.V.,020147137
DTEK ENERGY B.V.,034334895
DTEK GRIDS B.V.,073362417
DTEK GROUP B.V.,059950293
DTEK OIL&GAS B.V.,034284942
DTEK RENEWABLES FINANCE B.V.,034389118
DTEK RENEWABLES INTERNATIONAL B.V.,082760977
DTEK RENEWABLES UKRAINE B.V.,058729011
DTN International B.V.,091705975
DTN Netherlands B.V.,011026920
dtnext B.V.,078015413
DTS B.V.,066726824
DTS Expat B.V.,061019208
DTT Gaming B.V.,077768043
DTT Multimedia B.V.,065717058
DTX B.V.,054936578
Dual Inventive Holding B.V.,018086917
DUCARES B.V.,030230493
DuckDuckGoose B.V.,080296297
Ducor Petrochemicals B.V.,024275879
Dufry Business Services B.V.,070831084
Dufry Financial Services B.V,060704993
Duiker Combustion Engineers B.V.,027220515
Duin Consult HRM VOF,056990723
Dumela B.V.,070581630
Dümmen Orange The Netherlands B.V.,024170071
Dun & Bradstreet B.V.,024047019
Dunea N.V.,027122974
Dunlop International Europe Limited,023060941
Dunlop Protective Footwear B.V.,038018377
DUPI Underwriting Agencies Amsterdam B.V.,030136556
Dura Vermeer Infra Landelijke Projecten B.V.,034084789
Dura Vermeer Infra Regionale Projecten B.V.,034196257
Duracell Netherlands B.V.,063089726
Durapower Technology Group B.V.,073778036
Dürüm Company NL B.V.,034363924
Dustin Netherlands B.V.,009078252
Dutch Accounting House,017163160
Dutch Analytics B.V.,066849381
Dutch Coding Company B.V.,069760500
Dutch Diagnostics B.V.,008058321
Dutch Drone Gods B.V.,089513029
Dutch Medical Food B.V.,078496950
Dutch Payroll Experts B.V.,059095369
Dutch Qargo B.V.,071111212
Dutch Real Estate Company Amsterdam B.V.,086638343
Dutch Recruitment Service B.V.,076705099
Dutch Related Services B.V.,073996025
Dutch Rose Solutions B.V.,052202682
Dutch Sino Business Promotions,065707516
DutCH2 B.V.,037123814
dutchfounders.fund B.V.,073154520
Dutchina Agro Tech Incubation Center B.V.,055328938
Dutchview information technology B.V.,053977599
Dutoit Europe B.V.,030135909
Duvak Automatisering B.V.,028058665
Duyfken Trading Knowledge B.V.,034182969
DVJ Insights B.V.,076249638
DWA B.V.,029029243
Dwarfs B.V.,066782805
Dwellworks Netherlands II B.V.,034157468
DX Technology Services and Investment B.V.,085006785
DXC Technology,033239071
DXC Technology,066332745
DycoTrade,057568308
Dyflex Polymers,023065185
Dyflexis B.V.,059584327
Dyme B.V.,071904387
Dymo Engineering Berlicum B.V.,017273542
Dynamic Chiropractic B.V.,053973895
Dynamic Credit Management B.V.,062413481
Dynamic Credit Partners Europe B.V.,034249587
Dynamic People B.V.,034259692
Dynamic Uitzendbureau B.V.,073005797
Dynamic Visual Technologies B.V.,087551977
Dynata Europe B.V.,024326088
Dynatrace B.V.,033227492
DynaTron B.V.,062303538
Dyness Europe B.V.,081521944
Dyno-Chiptuningfiles.com,066390990
Dyson B.V.,034111070
Dyson Technology B.V.,080177565
DZM Data Solution B.V.,027280351
E D & F Man Holdings B.V.,024188202
E Green Europe B.V.,084761415
E Ink Netherlands B.V.,084837306
E Ink Technology B.V.,084837632
E Zilly B.V.,030153157
E&M Infra B.V.,027374401
E.H. Group B.V.,096157682
E.M. Rogers (Transport) B.V.,034118900
E.M.C. B.V.,061226394
E.O.C. Onderlinge Schepenverzekering U.A.,002000457
E2M Technologies B.V.,034264483
E2open GmbH,076108996
e3 Nederland B.V.,067440207
EAGE Holding B.V.,030122370
Eagle Eye Networks B.V.,014082937
Eagle Holding Europe B.V.,014044687
Eagle Seven Europe B.V.,082365474
Eagle Simrax B.V.,014023536
Eagle Vision Systems B.V.,032062776
EarthToday.Com B.V.,072614439
Ease2pay B.V.,069106460
Easee B.V.,065846753
EASP Air B.V.,059966432
Eastar The Netherlands B.V.,061193852
Eastern Enterprise B.V.,027152051
Easthouse Electronics Technology B.V.,064595609
Eastman Chemical B.V.,027150948
Eastman Chemical EMEA B.V.,033139782
Eastport Maritime Europe B.V.,024380550
East-West International B.V.,037086898
East-West Trade,065711114
Easy Controls B.V.,051517477
easy2rent B.V.,052876160
EasyAds B.V.,030210912
Easygenerator B.V.,067709826
Easygreen Energy Solutions B.V.,076708543
Easyjet Airline Company Holland,033283357
EasyStaff Payroll Select ZZP B.V.,018087515
EASYVIT Pharmaceuticals B.V.,074897071
easyworx flex B.V.,076626784
Eat Well Europe B.V.,066417368
Eaton Industries (Netherlands) B.V.,008113175
EATRIS ERIC,059239247
eBay International Management B.V.,071993312
Ebicus B.V.,014065721
Ebitwise B.V.,081485999
eBuddy B.V.,034211186
Ebury Partners Belgium SA/NV,074280511
Ebusco B.V.,055202454
Ecare Innovatie B.V.,059598247
ECCO EMEA B.V.,016076783
ECCO Global Business Development B.V.,061388351
ECCO Leather B.V.,018059647
ECCO Tannery (Holland),018122635
ECCT,017078777
ECEM European Chemical Marketing B.V.,033163887
Echemi Europe B.V.,076108635
Echo Pharmaceuticals B.V.,032120554
ECI Software Solutions B.V.,008017472
EclecticIQ B.V.,061333999
eClerx B.V.,077976207
Eclipse BCS B.V.,063501090
Eclipse Holdings B.V.,088067416
ECMP B.V.,009155304
ECMS Express (NL) B.V.,063907577
Eco Consult,009094994
Eco IL Group B.V.,054607612
EcoChain Technologies B.V.,053518314
Ecogreen Fine Chemicals B.V.,027273865
Ecom Clear B.V.,086981420
Ecomatters B.V.,054739640
Ecommerce Operations B.V.,066717809
Eco-movement B.V.,027294677
E-Coniq B.V.,082136521
ECONNETIC B.V.,057185514
Econvert Water & Energy B.V.,054029929
Ecorus Projects B.V.,061010804
ECORYS Nederland B.V.,024316726
ECR Nederland B.V.,017014719
ECsens B.V.,076564045
ECT Delta Terminal B.V.,024328090
EDAG Netherlands B.V.,014076302
EDC Retail B.V.,004086094
Edelman Europe Holdings B.V.,034266874
Edenspiekermann B.V.,034384935
EDGE NEXT Management B.V.,076716988
Edge Technologies Contract B.V.,071183272
EdgeConneX Europe B.V.,063051370
edilon)(sedra B.V.,034033500
Edmond de Rothschild REIM (Benelux) B.V.,034311097
Edufax B.V.,017074218
EDUNAKHO B.V.,077866282
Edwards Lifesciences B.V.,030163350
Eekels Technology B.V.,002309166
Eenvoud Media,059646500
Eerlijke WOZ B.V.,067784968
Eesysoft Software International B.V.,034375588
EET.NU B.V.,050563319
EF Corporate Education B.V.,034161319
Ef International Language Schools B.V.,033267461
Efeze B.V.,083405496
EFFECT Photonics B.V.,051514281
Effectory B.V.,072541644
Effectory Holding B.V.,033232007
E-Flight Academy B.V.,081677022
eFlowers B.V.,071172262
EFMClinic B.V.,072187476
EFT Services Holding B.V.,034107367
EG Retail (Netherlands) B.V.,024031986
Egardia B.V.,051114003
Egencia Netherlands B.V.,083604243
Egeniq B.V.,053062086
Egeria Group Services B.V.,078512867
Eggerding & Co.,033123790
Egon Zehnder International B.V.,033232562
Egypt Solar B.V.,064352897
EH Hotel Management B.V.,034203365
EHPC Holdings B.V.,034194009
Eichholtz B.V.,028060994
Eigen Energie.net B.V.,055569447
Eijkelkamp Soil & Water B.V.,009043479
Eiken Chemical Europe Office,052845745
Eimskip Nederland B.V.,024139487
Eindhoven,017272738
Einride Technologies Netherlands B.V.,085545295
Eisenkolb B.V.,017047866
EIT Urban Mobility Innovation Hub West B.V.,077048199
EJR-Quartz B.V.,028081544
Ekata Global - Netherlands B.V.,074096397
ekaterra Export B.V.,081716648
ekaterra Global Operations B.V.,081871341
ekaterra Group Finance B.V.,081615353
ekaterra Group IP Holdings B.V.,081871228
EKK Sales Europe B.V.,014047184
EKO Instruments Europe B.V.,027315416
Ekofine Holding & Finance N.V.,034211941
Ekro B.V.,008033633
Ekster B.V.,065094573
El Niño B.V.,008140115
Elacin International B.V.,018130264
Elanco Nederland B.V.,071762345
elasticsearch B.V.,054656230
Elastique B.V.,059329319
Elation professional B.V.,050048775
Elbi Trading Company B.V.,024257919
ElBrons B.V.,060048417
Elcee B.V.,023041333
Elchais B.V.,008010878
Elco B.V.,014023100
Eldohm B.V.,008078358
eldoLAB Holding B.V.,017218153
Eldorado Gold C.V.,078607965
Eldorado Gold Coöperatief U.A.,053699351
eLEAF B.V.,009116766
Electech Holding B.V.,024288161
Electrip Global B.V.,078656230
Electromagnetic Compatibility MCC B.V.,052798771
Electron Performance B.V.,088464040
Electron Technologies B.V.,029034307
Electronic Arts Nederland B.V.,024276634
Electronic Commerce Solutions (ECS) International B.V.,036053333
Electronics for Imaging B.V.,030144359
Electude Development B.V.,014097018
Elekta B.V.,017097384
Element Materials Technology Rotterdam B.V.,024170257
Elementis Minerals B.V.,034281419
Elements Interactive B.V.,032137279
Elements Legal N.V.,063814773
Elemica International B.V.,034153533
ELEO Technologies B.V.,069705623
Eleq Steenwijk B.V.,005029362
Elestor B.V.,059735937
Elevate B.V.,032040528
Elfsquad B.V.,064311775
Eli Lilly Nederland B.V.,030087090
Eli5 B.V.,064152022
Elinex Power Solutions B.V.,024263970
Elips Life AG,051782987
Elisa Maas B.V.,077521404
Elision B.V.,056543689
Elite Engineers B.V.,064139980
ELITechGroup Benelux B.V.,009175642
Elixir Engineers B.V.,064246310
ELLBRU Professionals B.V.,066955572
Ellens & Lentze Notariaat en Mediation B.V.,027114293
Ellips B.V.,017064762
Ellipsis Earth Intelligence B.V.,075011964
E-LLIS B.V.,053134486
Ellis Enterprises B.V.,023028372
Ellogon AI B.V.,074931024
ELM Europe B.V.,063329816
Elma B.V.,031022907
Elmar Reizen B.V.,030213095
Elopak B.V.,021010023
Elsevier B.V.,033158992
eLstar Dynamics B.V.,074821253
Elten Logistic Systems B.V.,030273014
Eltra Engineering B.V.,018049719
Elycio Talen B.V.,058174338
E-magy B.V.,074270338
Emakina B.V.,034244282
EMAR Crewing B.V.,067316573
Embers Support B.V.,075582546
Embraer Netherlands B.V.,052638243
Emendis B.V.,051400251
E-Mergo,027199736
Emergo Europe Consulting B.V.,027345543
Emergya Wind Technologies B.V.,034199007
Emerson Automation Solutions Final Control Netherlands B.V.,020025316
Emerson College European Center,055308775
Emerson Process Management,027145686
Emerson Process Management Flow B.V.,030196818
Emery B.V.,075634627
Emesa Holdings B.V.,052332586
EMG,020067188
EMG Group B.V.,028100791
EMG Nederland B.V.,032063228
EMI Twente B.V.,077488784
EMIS B.V.,062458949
Emixa B.V.,087135302
Emixa Integration Solutions B.V.,065629981
Emka Infra B.V.,076326683
Emmett Green B.V.,072881437
Emmett Green Engineering B.V.,077003055
Emons Group B.V.,054427126
Emoss Mobile Systems B.V.,060750006
Employor I B.V.,034308967
Employor II B.V.,070880565
Employor III B.V.,080275303
Empower Sports (Netherlands) B.V.,064009130
EMPWR Netherlands B.V.,023080831
Emrex B.V.,062859110
EMS,034226533
Emsere B.V.,028066287
emTransit B.V.,072795921
eMudhra B.V.,075632306
Enable U,034228397
Enablon Netherlands B.V.,034297520
EnAppSys B.V.,067992358
Enauta Netherlands B.V.,057118493
Endeavour B.V.,073015822
Endologix International Holdings B.V.,053359232
Eneco Diamond Hydrogen B.V.,090411285
Eneco Zakelijk,024296168
ENEL Investment Holding B.V.,034149162
ENEOS Netherlands B.V.,033206328
ENERCON Services Netherlands B.V.,005072417
EnergieCare NW B.V.,071628479
Energy & Infra Engineering B.V.,069909865
Energy Essentials Group B.V.,058192077
Energy Global Advies B.V.,024306970
Energy Maintenance International B.V.,037059950
Energy Solutions B.V.,027320033
Energyworx B.V.,055971202
EnergyZero B.V.,061215651
Enerjisa Commodities B.V.,089493621
Enerpac B.V.,030075396
Enersea B.V.,063092522
EnerSys B.V.,024187923
Enevate B.V.,063214458
Enexis Personeel B.V.,066934389
Enfinitec B.V.,081692846
Engage Process B.V.,030240102
Engagement Factory B.V.,058890661
Engenius Networks Europe B.V.,052093808
ENGIE Energie Nederland N.V.,005043978
Engineering4solar B.V.,075275317
Engineero B.V.,059762373
EnginX,080595464
Eni Energy Netherlands B.V.,027113806
Eni International B.V.,033264934
Enigmatry B.V.,027265056
ENI-JR286 International Coöperatief U.A.,034363652
Enka Power Systems B.V.,034260389
Enough B.V.,080420311
Enovation B.V.,024157738
Enpaco Europe B.V.,009079872
Enphase Energy NL B.V.,066057167
ENPICOM B.V.,069524084
Enquero B.V.,070843627
Enquirya B.V.,063253984
Enraf B.V.,027230372
ENRC N.V.,034260677
Enreach B.V.,039091093
Entelect Netherlands,030208805
ENTER B.V.,017186016
Entersekt Europe Coöperatief U.A.,064285774
Entis B.V.,070112975
Entocare C.V.,009095313
Entourage B.V.,060481943
Envalior B.V.,014029941
enviolo B.V.,090466519
Envipco Holding N.V.,033304225
Environmental Monitoring Systems (EMS) B.V.,020103569
Environmental Resources Management Nederland B.V.,030133036
Envision Technologies B.V.,069833214
Envocon B.V.,076950344
Enza Zaden Beheer B.V.,036034974
Enza Zaden Export B.V.,037116105
Enza Zaden Research & Development B.V.,037116112
Enza Zaden Seed Operations B.V.,037116114
Enzyre B.V.,066018048
EnzyTag B.V.,073327247
EOM Data Solutions B.V.,032070030
Eonics Consultancy B.V.,057075425
Eosta B.V.,030135547
EP Commodities B.V.,030166277
EP NL B.V.,070521530
EP NL Rijnmond Operations B.V.,024326849
EPAM Systems Netherlands B.V.,058048375
EPC Marine Contracting B.V.,054843855
EPEX SPOT SE,067569226
EPI Operations B.V.,091988845
Epic Den Bosch B.V.,017194003
Epicenter,031048040
Epiphany RBC B.V.,067467156
Epoch Holland B.V.,053389042
EPPEN NETHERLANDS B.V.,087067080
Eppendorf Nederland B.V.,010032958
Epredia Netherlands B.V.,074484141
EPS Europe B.V.,084076852
Épsilon Inversiones B.V.,064097722
Epson Europe B.V.,033215466
Eqeep Services B.V.,017265826
Eqilence International B.V.,059305266
EQili B.V.,062778889
EQT Partners Netherlands B.V.,077321227
Equalture B.V.,069620172
EQUANS,030059821
Equans Staffing Solutions B.V.,059091983
equensWorldline N.V.,078527767
equensWorldline SE,030220519
Equileap B.V.,081633009
Equilex B.V.,037092788
Equine Integration B.V.,082484260
Equinix (EMEA) B.V.,057577889
Equinix (Netherlands) B.V.,024429748
Equinix (Netherlands) Enterprises B.V.,059911107
Equinor Holding Netherlands B.V.,024393030
Equippo AG,066121965
Equitable Maritime Consulting,073243485
Er Shipping Holding B.V.,064256618
ERA Nederland N.V.,030120934
Eraneos Analytics Netherlands B.V.,002070702
Erasmus Centre for Entrepreneurship,024469423
"Erasmus Centre for Urban, Port and Transport Economics B.V.",024369966
Erasmus Enterprise B.V.,078474728
Erasmus Medisch Centrum,024485070
Erasmus Universiteit Rotterdam,024495550
Eraze Computer Software B.V.,027164810
Erbi B.V.,056981961
Erdotex B.V.,030149642
ERESM European Residential Management B.V.,069073422
Erez Corporate Service B.V.,058684948
ERG Employment Services Global B.V.,069280878
ERICO Europe B.V.,018029351
Ericsson Network Services B.V.,018082272
Ericsson Telecommunicatie B.V.,018003683
Eriell Oilfield Services B.V.,008165646
Eriks B.V.,037050277
ERIKS Digital B.V.,065316673
ERIKS N.V.,037013289
Ernst & Young Accountants LLP,024432944
Ernst & Young Actuarissen B.V.,024334354
Ernst & Young Belastingadviseurs LLP,024432939
Ernst & Young Nederland LLP,024432942
Erowa Benelux B.V.,074432281
ERPlastics B.V.,065429230
ERSG B.V.,065959124
Erstream,070793182
ESD-SIC B.V.,002320474
Eskra Bouw B.V.,027319941
ESL Benelux B.V.,060104406
Esomar B.V.,033299075
Esperante Development B.V.,008069968
"ESRI Global, Inc.",024429405
Esro Petfood B.V.,090621999
Essange Reagents,067177565
Esse B.V.,034348686
EssenceMediacom Netherlands B.V.,033289651
Essense Service Design B.V.,062195158
Essent Energy Group B.V.,009152897
Essent N.V.,017115973
Essity Netherlands B.V.,030135846
Essity Operations Hoogezand B.V.,002317047
Esso Nederland B.V.,027004771
EST Netherlands B.V.,094779244
EST2021FW B.V.,085671681
EST-Floattech B.V.,001162843
ESTG B.V.,050459597
Estreme B.V.,062561774
E-Tailize B.V.,083219412
ETEC Service & Engineering B.V.,060098872
Eternal Sun,053579283
ETG Commodities B.V.,076084930
Ethnic Chic Projects B.V.,065769473
EthosEnergy B.V.,008127848
Etihad Airways PJSC,057411298
Etileno XXI Services B.V.,055130720
Etiya B.V.,068414382
ETM Corporate Services B.V.,034206371
ETPA B.V.,063555913
E-Trailer B.V.,064529096
ETRMServices Netherlands,058053484
Etteplan Engineering Solutions Netherlands B.V.,017156408
Etteplan Netherlands B.V.,018050847
EU Funding B.V.,077417232
Euflex B.V.,017109183
Euflex Employment Services B.V.,063816695
EULabs B.V.,076192237
EULER HERMES Europe,053853091
Eurail B.V.,030206952
Eurail Group Gie,030172825
Euramax Coated Products B.V.,013013614
Eurasia Business Partners B.V.,071834621
Eurasian Resources Group B.V.,057923272
Eurekite B.V.,063379864
Eurise K B.V.,073419206
Euro Asia Fruit Dutch B.V.,080701876
Euro Planit B.V.,008116257
Euro Pool System International,027168083
Euro Retail B.V.,072762276
Euro Senko,024469532
Euro Tank Terminal B.V.,024363713
Euro West B.V.,027214171
Euroboor B.V.,027125112
Euro-Caps Holding B.V.,055943985
Eurocept B.V.,032096543
Euroclear S.A.,034216825
EuroCollege Management School B.V.,037061676
Eurocommercial Properties N.V.,033230134
Euroconsult Mott MacDonald B.V.,009038921
EuroCount Consultancy,059586478
EuroDev B.V.,006078400
EuroDev Shared Service Center B.V.,064892573
Eurodrug Laboratories B.V.,027103741
Eurofiber Cloud Infra B.V.,066521378
Eurofiber Nederland,034134377
Eurofins Analytico B.V.,009088623
Eurofins Central Laboratory B.V.,020049450
Eurofins EAG Materials Science Netherlands B.V.,072390123
Eurofins NBLSC Food Testing Netherlands B.V.,087689200
Eurofins Nederlands Moleculair Diagnostisch Laboratorium B.V.,055505686
Eurofins NSC Netherlands B.V.,052417905
Eurofins Omegam B.V.,034215654
Eurofins Professional Scientific Services Netherlands B.V.,061386960
Eurofins PROXY Laboratories B.V.,028088811
Eurofins Spinnovation Analytical B.V.,009141820
Euro-Kytex Engineering B.V.,064714098
Eurolida Coöperatief U.A.,071170960
EuroLoop Calibrations B.V.,068215738
EuroMice Holland B.V.,027317775
Euronavig Holdings B.V.,062501321
Euronet Communications B.V.,033301540
Euronet Infra Techniek B.V.,053527925
Euronext Amsterdam N.V.,034138585
Euronics International B.V.,032111490
Europaconnection B.V.,060940506
Europastry Central Europe B.V.,024457709
Europe Medicare B.V.,061955191
Europe Trade Company B.V.,074955489
European & Developing Countries Clinical Trials Partnership,060471700
European Appliances Netherlands B.V.,020042061
European Association for International Education,040536784
European Association for Investors in Non Listed Real Estate Vehicles (INREV),034178762
European Center for Not-for-Profit Law Stichting,073239518
European Cultural Foundation,041199699
European Customs Clearance (ECC) B.V.,054139287
European Dental Group Holding B.V.,070650284
European Distribution Centre Roosendaal (E.D.C.R.) B.V.,020037794
European Drilling Projects B.V.,037111047
EUROPEAN HEMATOLOGY ASSOCIATION,024334797
European League of Institutes of the Arts (ELIA),040537096
European Market Partner B.V.,013036298
European Medical Contract Manufacturing (E.M.C.M.) B.V.,010039596
European Multi Talent Group Healthcare B.V.,055652832
European Network for Cyber Security (ENCS) Coöperatief U.A.,055732631
European Portwell Technology B.V.,034268540
Europort Pharmaceuticals B.V.,024367879
EuroSort B.V.,051152754
EuroTown B.V.,060690739
Eurotrol B.V.,009067367
Eurus Energy Europe B.V.,024274700
Eusu Logistics B.V.,024433888
Eva Airways Corporation (Netherlands Branch),034092638
Evalan B.V.,032111035
Evalueserve Netherlands B.V.,063051087
EVAM B.V.,073281123
EVBox B.V.,032165082
EVBox Intelligence B.V.,074809296
Event Rent Roadshowprodukties,030103910
Eventix B.V.,064925536
EVEON Containers B.V.,078642825
Everaert Advocaten,034340584
Evergreen Shipping Agency (Europe) GMBH,070594538
Everlight Europe BV,024271620
Everon B.V.,074602187
Everris International B.V.,014027868
Eversheds Sutherland (Netherlands) B.V.,070126313
EversPartners B.V.,066153034
Eversports NL B.V.,062081896
Every Angle Software Solutions B.V.,024327140
everynet B.V.,063446529
Everyone.org B.V.,062439715
Eves B.V.,068732465
EVG Start B.V.,030272493
Eviden International Global Functions B.V.,069802637
Eviden Netherlands B.V.,030132762
Evides N.V.,024170650
Evidos B.V.,056686331
e-Village B.V.,032080944
Eviosys Aerosols & Promotional Packaging Netherland B.V.,036014044
Evmann Investments Holding B.V.,058227350
Evoke B.V.,012054807
Evolution Netherlands B.V.,066682452
Evonsys Europe B.V.,069374597
Evos Amsterdam West B.V.,024406191
Evos B.V.,076587819
Evos Management B.V.,083354263
Evreka Europe B.V.,085647993
EVS Netherlands B.V.,018029531
Ewac B.V.,037072585
EWART AMSTERDAM B.V.,063206900
Ex Mente Europe B.V.,085181242
Exact Cloud Development Benelux B.V.,061877107
Exact Group B.V.,027225828
Exascend Europe B.V.,086997823
Excelya Netherlands B.V.,051255820
EXCENTR B.V.,062508199
Except B.V.,068447043
Excerpta Medica B.V.,050825461
Executive Mobility Group B.V.,034232584
Executive Shipping Services (Netherlands) B.V.,055755747
EXEDY Clutch Europe Ltd.,074476300
Exela Technologies B.V.,072638974
Exelerating B.V.,065727746
exen global b.v.,065039033
Exes Group B.V.,057841969
Exide Technologies B.V.,024176741
EXIN Holding B.V.,030181332
Exivity B.V.,069674191
EXNER INGENIEURSTECHNIEK B.V.,010038374
Expat Housing Network B.V.,067812996
Expat-Links@ B.V,011063119
Expatrix B.V.,058864652
Expedia.nl. B.V.,034204970
Expeditors International B.V.,034087992
Expereo International B.V.,034226397
Experian Nederland B.V.,030103666
EXPERIENCE DATA B.V.,062776592
Experis Professionals B.V.,032106595
