Organisation,KVK number
LeaseWeb Netherlands B.V.,030141839
LeaseWeb Network B.V.,030188570
Lebara B.V.,034161616
Lebrun B.V.,036041777
Leco Europe B.V.,014031620
Ledstores Europe B.V.,067513247
Lee Hecht Harrison Nederland B.V.,030156802
Leeruniek B.V.,063773791
Legadex B.V.,034303161
legalparc B.V.,072730285
Legamaster International B.V.,008044740
Leger des Heils Welzijns- en Gezondheidszorg,041208154
LegionellaDossier Tech B.V.,080989187
Legrand AV Netherlands B.V.,034221210
Leiden Cryogenics B.V.,028056762
"Leidos, Inc.",052693139
Leids Universitair Medisch Centrum (LUMC),027366422
Leisure Expert Group B.V.,065005244
Leisure International Nederland B.V.,033129766
Lejeune Association Management B.V.,027141841
LEKKER international B.V.,060449055
Lely Industries N.V.,024220073
Lely International N.V.,024441877
Lely Services B.V.,059364335
Lely Technologies,027184864
Lelypharma B.V.,039082752
Lelystad Platform B.V.,067915833
Lemba B.V.,077681940
Lemni B.V.,093642334
Lemonade Agency B.V.,075134454
Lemonade B.V.,073233293
Lemonade Tech B.V.,088070271
Lendex B.V.,060251727
Lenntech B.V.,027289106
Lenovo International Coöperatief U.A.,061479047
LENS B.V.,066393922
Lens R&D B.V.,086875833
Lensor B.V.,082716889
Leo Drive B.V.,092984304
Leon Construction International B.V.,033303683
Leonteq Securities AG,064280055
LeoSat B.V.,068818734
LessonUp B.V.,064760006
Lestrade Financial Services B.V.,059668237
Letink Design B.V.,068630514
Lets Blinq B.V.,053125444
Level.works Holding B.V.,082733473
level3 Project Delivery Services B.V.,084730757
Leverage Holding B.V.,065425111
Leviat B.V.,006069052
Levitech B.V.,032156484
Levy Associates Limited,055311970
Lewis Communications B.V.,014066694
Lexcom B.V.,017146473
LexisNexis Business Information Solutions B.V.,009002289
Leyden Laboratories B.V.,078220521
Leydenjar Technologies B.V.,065766539
Leylines B.V.,034250234
LeyWood Warenhuizen B.V.,034143572
LFI24 B.V.,081857268
LG CNS Europe B.V.,039081700
LG Electronics Benelux Sales B.V.,039091823
LG Electronics European Shared Service Center B.V.,039091840
LG Sonic B.V.,051728699
LGMG Europe B.V.,071776850
L-Groep Totaalonderhoud B.V.,074566210
LHIC Netherlands II B.V.,052452409
Libertatis Ergo Holding B.V.,028071688
Liberty Bishop (Netherlands) Ltd,075105551
Liberty Global B.V.,034168993
Liberty Global Corporate B.V.,080203779
Liberty Global Technology Services B.V.,080203582
Libra Energy B.V.,037140128
Liebherr-Nederland B.V.,031030145
Life Fitness (Atlantic) B.V.,024254910
Life Fitness Shared Services Center,024292381
Life Science Methods B.V.,053301978
Life Technologies Europe B.V.,029040249
Lifecell Ventures Coöperatief U.A.,034298299
Lifely B.V.,066180074
LifeQ B.V.,069311544
Lifetri Groep B.V.,070148821
Lifetri Uitvaartverzekeringen N.V.,069933332
L-IFT B.V.,062421174
LIFT International B.V.,069524432
Liftinstituut Holding B.V.,034157357
LiGalli B.V.,059768223
Lighthaus B.V.,073797235
Lighthouse Financial Technologies Coöperatief U.A.,085471364
Lighthouse Instruments B.V.,052017400
Lighthouse IP B.V.,034259168
Lighthouse Netherlands B.V.,066478138
Lightsource Renewable Energy Netherlands Development B.V.,069841527
Lightspeed Netherlands B.V.,017229470
Lightyear Layer,078271363
Ligo B.V.,063699060
Lijfkracht B.V.,059430729
Like Minds Consulting B.V.,066102170
Lily Maas,001090497
Limagrain Nederland B.V.,022000154
Liman Restaurant,074449915
Limbourg & Partners Maastricht N.V.,014065962
Lime Network B.V.,072024100
LIMFLOR B.V.,060215089
Linco Food Systems B.V.,009054346
Lincoln International B.V.,089951107
Lincsafe B.V.,057220662
Linde Gas Benelux B.V.,024269483
Linden IT B.V.,056679920
Lindex B.V.,024198586
Lindsay International Holdings B.V.,034262200
Lindt & Sprüngli (Netherlands) B.V.,073086614
Lineage Dutch Bidco B.V.,067540619
Lineage Dutch Coöperatief U.A.,068781113
Lineage NL 3 TRS B.V.,086656465
Link Inspection (Europe) B.V.,063737264
LinkedIn Netherlands B.V.,034370729
LINKIT B.V.,030146769
Linklaters LLP,034367130
LINKS Analytics B.V.,027341807
Linkthings B.V.,066519535
Linsboer B.V.,078421330
Lintec Europe,033266688
Linx IT Solutions,034169234
Linxens (the Netherlands) B.V.,010041575
LioniX International B.V.,065714547
LionRock Maritime B.V.,093730926
LionsBot Europe B.V.,088223566
Lionsville B.V.,086243799
LionVolt B.V.,077750470
LipoCoat B.V.,066706858
Lipton Teas and Infusions B.V.,081254075
Lipton Teas and Infusions Netherlands B.V.,081871058
LIQAL B.V.,060310057
Liquid Enterprises B.V.,024407492
Liroy B.V.,027186427
Lismar Engineering B.V.,033278604
LITASCO Benelux B.V.,024328460
Litecad B.V.,004070505
Lite-On Technology (Europe) B.V.,033300776
Lithium Werks B.V.,070264554
Littelfuse Netherlands B.V.,072434341
Liugong Machinery Europe B.V.,034371519
Liveaboard.com B.V.,058348336
LiveDrop B.V.,083120564
Livekindly Benelux B.V.,057934428
Livekindly Production NL B.V.,084801727
LivePerson Netherlands B.V.,057588805
LiveRamp Netherlands B.V.,068312210
LiveWall Group B.V.,066276721
Livework Netherlands B.V.,065582845
Living-IT B.V.,024361910
Livoltek Europe B.V.,087513153
Lizard Apps B.V.,058228039
Lloyds Bank GmbH,072211342
Lloyd's Register EMEA,024350455
LM Wind Power R&D (Holland) B.V.,033256041
LNRS Data Services B.V.,033293475
LOBSTER Innovations B.V.,082171025
Locada B.V.,059310685
Locamation B.V.,006057207
Lockheed Martin Global Inc.,034379390
Locsense B.V.,077655508
Locus People Engineering B.V.,062293540
LODEWIJK BALJON landschapsarchitecten B.V.,034154157
Lodewijks Meat B.V.,051906538
LOF Landschapsarchitecten B.V.,030220057
LOGEX B.V.,051459353
Logic8 B.V.,030172648
Login VSI B.V.,055725147
Logiqs B.V.,061203785
Logisch industriële automatisering B.V.,051480492
LOGISTEED Europe B.V.,011027294
Logistic Business Partners (Rotterdam) B.V.,029039799
Logistic Systems Engineers B.V.,036035168
Logistyx Technologies Europe B.V.,056537964
Logitech Benelux B.V.,030118412
Logitech Europe S.A.,010144574
Logoplaste Elst B.V.,024414589
Logres Business Solutions B.V.,008091201
Logsign B.V.,082271526
Lois Advies B.V.,075262843
Lola Landscape Architects,078581958
Lomez International B.V.,034109317
Londen & Van Holland Registeraccountants en Belastingadviseurs,034376867
lone.biz B.V.,034358504
LONGi (Netherlands) Trading B.V.,078628431
Longship B.V.,001146382
Lonza Netherlands B.V.,014083599
Lookout International B.V.,063333511
Loonpoint B.V.,066578000
Loop BV,093812922
Loop Robots B.V.,080487939
Loos van Vliet B.V.,054081688
Loovas Interim Solutions B.V.,073108111
Loparex B.V.,008094474
L'Oreal Nederland B.V.,032025040
Louis Dreyfus Company Juices Holding B.V.,069003815
Lovapharm Consulting B.V.,057989060
Lovechock B.V.,058032622
Lovevery Europe B.V.,078165008
Lovink Enertech B.V.,009100466
Lowell Financial Limited,073389579
Lowland Nederland B.V.,034214161
Loxodon B.V.,056428731
Loyal Cargo Services B.V.,071842764
Loyens & Loeff N.V.,024370566
Loyyo B.V.,078623707
LR B.V.,077518101
LRQA Nederland B.V.,024247948
LS ELECTRIC Europe B.V.,034359767
LSI - Netherlands B.V.,061284912
LT Foods Europe B.V.,066787726
LTD NL B.V.,069556318
LTIMindtree Limited,034215231
LTP Import Export,071397930
"Lubbers, Boer & Douma B.V.",057535744
Luchthaven Hotel Beleggingsmaatschappij BV,033293945
Luchtverkeersleiding Nederland,034367959
Lucid Europe B.V.,082509654
Lucid Netherlands B.V.,082512590
Lucidchart B.V.,072481617
Lucido B.V.,084361433
Lucky Kat B.V.,063892030
Lucy Software B.V.,030194420
Lukkien B.V.,009064424
LUKOIL Finance B.V.,024272301
LUKOIL International Services B.V.,034193265
Lumen Technologies NL B.V.,033299249
LUMICKS B.V.,060187263
LUMICKS CA B.V.,082308160
Lumiforte EMEA B.V.,018029088
Lumileds Holding B.V.,061778737
Lumileds Netherlands B.V.,017129272
Lummus Technology Heat Transfer B.V.,027110728
LUMO LABS B.V.,071718192
Lumos Diagnostics (NL) B.V.,076332373
Lumosa Lighting B.V.,086871986
Luna Chemicals B.V.,069443394
Luna.nl B.V.,024268199
Lunatech Labs,024426307
Lunenburg Vlees B.V.,030124287
Lurfs Engineering B.V.,070021074
Luscii healthtech B.V.,053119843
Lutech Project Solutions B.V.,067250726
Lutech Projects B.V.,067250750
Lutech Resources B.V.,027339069
Lux Research B.V.,050367382
Luxexcel Group B.V.,020160719
Lux-mate Europe B.V.,069619174
Luxoft Netherlands B.V.,065429222
Luxottica The Netherlands B.V.,033281895
Luxs B.V.,063975254
LV Trading B.V.,056266480
LX Pantos Netherlands B.V.,039085937
LX3 B.V.,091146836
Lycens B.V.,008177178
Lyfo B.V.,070635269
Lynthera B.V.,081759215
Lynx B.V.,034253246
Lyondell Chemie Nederland B.V.,024314683
LyondellBasell Industries Holdings B.V.,024344658
Lytho B.V.,028052701
Lyv B.V.,064601862
M & I Broadcast Services B.V.,032051488
M & S Logistics B.V.,024294179
M Moser Associates B.V.,073319074
M Restart,024332667
M Restart Secondment & Solutions B.V.,065683722
M&M e-commerce B.V.,058473297
M&M Shipholding B.V.,092631126
M. Velings Holding B.V.,018077510
M.H.B. (Mathijssen Herveld Betuwe) B.V.,010023479
M.I. Maritime B.V.,056554168
"M+P, raadgevende ingenieurs B.V.",034060542
M11 B.V.,083709509
M7 Real Estate Netherlands B.V.,058945253
Maana Electric Netherlands B.V.,072479949
Maandag Interim Professionals B.V.,037098483
Maarschall Group B.V.,008182316
Maas en Kleiberg Subsidieadvies B.V.,064573648
Maas International Holding B.V.,017140971
Maas Marine & Industrial Equipment B.V.,024293650
Maass Special Alloys Nederland B.V.,062767526
Maastricht Aachen Airport B.V.,066013283
Maastricht Aviation Aircraft Services B.V.,014056157
Maastro clinic,041070330
Maatschap Dental Point,020160356
Maatschap Egbers en Verbeek,030276219
Maatschap Groepspraktijk Tandartsen Gem. Rucphen,020153869
Maatschap Lentink de Jonge,008192798
Maatschap Mondzorg Tridenzo,076664368
Maatschap MSB Gouda,062072927
"Maatschap Van den Oever, Zaaijer & partners Architecten",034370991
Macaw Data Intelligence B.V.,070271070
Macaw Nederland B.V.,034104629
Macaw Rich Internet Solutions B.V.,034371429
MacCreanor Lavington Architects B.V.,024288982
Mace Consultancy (Netherlands) Limited,069605211
Mace Macro Europe Limited,057964858
Mace Management Services B.V.,058358242
Macee B.V.,058546758
Macee Solutions B.V.,068965044
Mach 2 Pharmafreight B.V.,073746851
Mach development B.V.,034210018
Machine Fabriek Elburg B.V.,008060939
Machine2Learn B.V.,069485844
Machinefabriek Gebrs. Frencken B.V.,017047541
Machinefabriek Heerbaart B.V.,006084094
Machinefabriek Kreber B.V.,024226178
Mackay-Rotterdam B.V.,020136508
Macrogen Europe B.V.,069716099
Macroscoop B.V.,027139432
Macs B.V.,014058272
Madaster Shared Services B.V.,078153301
Madern Automation B.V.,062216546
Madison People International B.V.,027247337
Maersk Line Netherlands B.V.,024139123
Maersk Logistics & Services International B.V.,056203810
Maersk Logistics and Services Netherlands B.V.,024154050
Maestr B.V.,082530912
Maestra B.V.,070240833
Maeve Aerospace B.V.,078556112
"Magazijn """"De Bijenkorf"""" B.V.",033116577
Magenta Technology Consultants B.V.,027166245
Magic & Young,028109586
Magic Bodyfashion B.V.,034129298
Magister,001111167
Magnet Forensics Europe B.V.,071801472
Magnet.me NL B.V.,063642328
MAGNETO special anodes B.V.,024270706
Magnit Global Netherlands BN B.V.,030135361
Magno IT B.V.,076650669
Magno IT Recruitment B.V.,053805836
Magnum ICC Europe B.V.,096477571
Magnum ICC Finance B.V.,096401133
Magnum ICC Global Services B.V.,096506040
Magnum ICC Netherlands B.V.,096477644
Magnus Energy B.V.,084090065
Maharishi Ayurveda Europe B.V.,067873251
Maiestas Professional Services B.V.,070309450
MainBlades Inspections B.V.,068523777
Mainetti B.V.,017028657
Mainfreight B.V.,024281333
Mainfreight Holding B.V.,009089887
Mainfreight Logistic Services Netherlands B.V.,009043843
Mainstay Medical B.V.,069623996
Maistering B.V.,071982493
MA-IT B.V.,008222372
Majorel Holding Nederland B.V.,073953881
MakDo B.V.,066562856
Make-A-Wish Foundation International (Dutch Office),076833690
Makeblock Europe B.V.,068916752
Makers of Sustainable Spaces,069961050
MakeSense Derivatives B.V.,051997665
Makis Holding B.V.,034180691
Makita Nederland B.V.,017038197
Makmende Media B.V.,034243945
Mako Derivatives Amsterdam B.V.,071935568
Malaysian Timber Council,074994530
Malcolm Hollis B.V.,066026547
Maltha Groep B.V.,020078612
Malvern Panalytical B.V.,006069492
"Mama Cash, Stichting",041202535
Mambu B.V.,081685181
Mambu Tech B.V.,070283737
Mammoet Europe B.V.,033275222
Mammoet Europe Holding B.V.,033129474
Mammoet Heavylift B.V.,020039060
Mammoet Holding B.V.,030105738
Mampaey Offshore Industries B.V.,023060331
MAN Energy Solutions Netherlands B.V.,027290212
Management Precision,027329900
MandoTech Installatie- en Montagetechniek B.V.,027318943
Manhattan Associates Europe B.V.,032079353
Manna Agency B.V.,081469012
Manometric Holding B.V.,068457731
Manpower B.V.,033138744
Manpower Business Professionals B.V.,033214370
Manpower Flexibility B.V.,084274042
Manpower Flexwork B.V.,084272333
Manpower Talentworkers B.V.,084276754
ManpowerGroup Staff B.V.,033142697
Manschap B.V.,008156026
Mansource B.V.,068813090
MantiSpectra B.V.,080657451
Manus Machinae B.V.,061920819
Manus Software Europe B.V.,024370056
MapCreator B.V.,017219346
Mapiq B.V.,027366517
Maples Fiduciary Services (Netherlands) B.V.,060468521
MaplesFS Service Company (Netherlands) B.V.,088371816
Mapletree Management (Netherlands) B.V.,071613722
Maprima Business Support B.V.,081618476
Mapscape B.V.,017210210
MAQQIE B.V.,069831955
MAQQIE Payroll B.V.,087407566
MAQQIE Shared Service Center B.V.,092446965
MAQQIE Vaster B.V.,075147211
Maratan B.V.,082191689
March Networks B.V.,018083803
Mardissah B.V.,078533465
MAREFSOL B.V.,017221892
Marel Customer Center B.V.,088473015
Marel Further Processing B.V.,016059374
Marel GDC B.V.,081542739
Marel Holding B.V.,034285879
Marel PMJ B.V.,036051882
Marel Poultry B.V.,016035099
Marel Red Meat B.V.,008075869
MareVisie B.V.,028108221
Marflex Europe B.V.,024230201
Marflex Holding B.V.,024225227
Marie-Stella-Maris Water B.V.,054045835
Marimecs Office B.V.,039095772
MARIN Academy B.V.,009135106
Marin Crew B.V.,002040466
Marine Care B.V.,024281287
MarineSecure B.V.,082948445
Marinetrans Benelux B.V.,034319475
Maritime & Transport Business Solutions B.V.,024377619
Maritime Construction Services B.V.,063385031
MarketAxess NL B.V.,069592888
MarketAxess Post-Trade B.V.,069597774
Marketech Netherlands B.V.,069097941
Marketresponse Nederland B.V.,031030821
Markit N.V.,034124417
Marksmen Interactive B.V.,074742752
Marktplaats B.V.,028058712
Marlar International B.V.,033182507
Marlink B.V.,027163422
Marper Personnel B.V.,024483893
Marque of Brands B.V.,068349106
Marquis Legal B.V.,073811858
Marquis Technologies B.V.,071046364
Mars Nederland B.V.,016021492
Marsh,024120005
Marshall Aerospace Netherlands B.V.,034253044
MarshBerry International Coöperatief U.A.,076571300
Marubeni Foods Investment Asia Coöperatief U.A.,034386500
Maruha Nichiro Corporation. Amsterdam representative office,034246230
Marvell Netherlands B.V.,034233879
Marvesa Oils & Fats B.V.,024495280
Marvesa Supply Chain Services B.V.,067410286
marXact B.V.,068076622
Maschem B.V.,056666497
Mascot Online B.V.,056913117
Masdar Solar & Wind Coöperatief U.A.,034297721
Mason Garments B.V.,058453016
Massarius B.V.,056916116
Massive Music B.V.,033296421
Massive Splash B.V.,065883187
Mastek Systems B.V.,071642862
Master Network Solutions B.V.,034231952
Masters in Finance B.V.,058039589
MasterShip Software B.V.,017098598
Matchcare B.V.,009096118
MatchWornShirt B.V.,069115494
Materiaal Metingen Europe B.V.,024157143
MATERIAL PLUS EU B.V.,085740780
Materials innovation institute M2i,041160438
Mather Economics Netherlands B.V.,078122090
Matoke Tours B.V.,055479634
MA-TRAC,062186000
Matras Recycling EU Nederland B.V.,056263732
Matrix Vastgoed B.V.,066032466
Mat-Tech B.V.,027231966
Mattel Europa B.V.,033237928
Mattel Europe Holdings B.V.,033297748
Mauri Technology B.V.,012016056
MAUSER Holding Netherlands B.V.,024329947
Maven Derivatives Amsterdam B.V.,071291377
Maven Securities Holding Limited,076468836
Maveric NXT B.V.,087014807
Maverick Derivatives Coöperatief U.A.,068805039
Mavim B.V.,052751406
Mavitec B.V.,037102725
Max Bögl Nederland B.V.,028089096
Max Brown Hotel B.V.,034260817
Max Europe B.V.,039093032
MAX HRM B.V.,067734839
MAX HRM Group B.V.,082227195
MAXARO B.V.,020147769
Maxbuff Coöperatie U.A.,069946523
Maxd`Oro B.V.,032117532
Maxedy B.V.,057949069
Maxem Energy Solutions B.V.,053936981
Maxi Miliaan B.V.,017060920
Maxima Technologies NL B.V.,070217955
Maxlead Services B.V.,028107578
Maxwell and Spark B.V.,084660678
Maxwell Continental Tank Serv Engineering B.V.,073266612
Maxwell Labs B.V.,068307977
Maxxis Europe B.V.,071722785
Maxxis Tech Center Europe B.V.,017174729
Mayflower Netherlands B.V.,052279685
Maykers B.V.,070537070
Maykin Media,064214648
Mayumana Healthcare B.V.,053748921
Mayur Restaurant,033134870
Mazairac Tandtechniek B.V.,073419443
Mazarine Operator Services B.V.,059256125
MAZE B.V.,083109455
Mazura Contracting Solutions (MCS) B.V.,050125443
Mazura Payrolling Solutions B.V.,055911560
MBA Michael Bailey Associates Project Services B.V.,086235818
MBA Michael Bailey Associates Recruitment B.V.,086235559
MBI B.V.,016040552
MBK Investment Management Netherlands B.V.,080609805
MBP Netherlands B.V.,022053787
MCA Nederland B.V.,057086532
McAfee Netherlands B.V.,067352405
McCain Foods Holland B.V.,022000299
MCD IT B.V.,080202551
McDermott Nederland B.V.,027049906
McDonald's Nederland B.V.,033143768
MCE Technical Center B.V.,014132219
McFati B.V.,027266604
MCFLY & BROWN NETHERLANDS B.V.,076280705
MCFT Nederland B.V.,082692718
MCH Advies & Automatisering B.V.,030083777
MCi (Mirror Controls International) Netherlands B.V.,030048300
MCI Amsterdam B.V.,033303630
McKinsey & Company Netherlands,033114342
MCLS Europe B.V.,063411091
MCX Administration Services B.V.,008086235
MDgo B.V.,069398100
MDN Europe B.V.,066637503
Mead Johnson B.V.,054823196
Meaf Machines B.V.,022025279
Mean Well Europe B.V.,034246510
"Measurabl, Inc.",076350126
Measuremen B.V.,054844460
Meatable B.V.,071904255
Mecal Applied Mechanics,006091001
MECAL Semiconductor Product Development B.V.,051804646
MECAL Wind Turbine Design B.V.,051809168
Mecanoo Architecten B.V.,027231269
Mechapros B.V.,055109020
Mechdes Engineering B.V.,008061475
Mechel Service Global B.V.,034330052
Meco Equipment Engineers B.V.,018043809
Medal,068975902
Medallia B.V.,073691755
Medcaptain Europe B.V.,065306252
Medela Benelux B.V.,017086901
MedEnvoy Global B.V.,080429149
Medi Group B.V.,056240481
Media Buying Systems B.V.,034186621
Media Distillery International B.V.,060426616
Media Markt - Saturn Holding Nederland B.V.,030096621
Media2B B.V.,061744557
MediaBlue,053271238
Mediabrands Netherlands B.V.,033175011
Mediahuis Nederland B.V.,034283848
Mediahuis Nederland Digital Marketplaces B.V.,033150568
MediaMonks B.V.,032084006
"Mediant, locatie Helmerzijde",006089356
Medical Measurement Systems B.V.,006070224
Medical Research Data Management B.V.,055207448
MediCapture Europe B.V.,058039864
Medicsana B.V.,074621238
Medify B.V.,058734325
MediLibra B.V.,054607183
MediPower International B.V.,001106843
Mediq Groep,056038062
Medir International B.V.,024391546
Medis Medical Imaging Systems B.V.,028075744
Medisch Centrum Rotterdam Kralingen B.V.,024407629
Medische Haartransplantatie Klinieken B.V.,074565745
Mediservice B.V.,056457324
Mediterra Capital B.V.,073015253
Mediterranean Shipping Company (Nederland) B.V.,024237526
Meditime B.V.,072398841
Medline International B.V.,059171960
Medpace Netherlands B.V.,024385193
Meds and Care Pharmacies,027178517
Medtronic B.V.,014023267
Medtronic Bakken Research Center B.V.,014625522
MeduProf-S B.V.,009195920
Medweb B.V.,034217136
Meelunie B.V.,033037079
Meens Bierbrouwerij B.V.,014034012
Meerwijk Allister Groep B.V.,032105517
Meetingselect B.V.,034262991
Mega Energie B.V.,077949803
"Mega International Commercial Bank CO., Limited",033223354
MegaGen Implant Europe B.V.,083075518
Megagroup Trade Holding B.V.,017174948
Megaport (Netherlands) B.V.,064677273
MEGlobal B.V.,022054980
MEGMILK SNOW BRAND Co. Ltd.,063834774
Mei Z&F B.V.,051915154
Meijburg & Co B.V.,033133832
Meijer CnF Amsterdam B.V.,059702478
Meiji Food Europe B.V.,078589290
Meiji Shipping B.V.,034319123
Meilink Eindhoven B.V.,017136987
MeiraGTx Netherlands B.V.,034215606
Mejor B.V.,070346798
Melspring International B.V.,009131564
Meltwater The Netherlands B.V.,032140689
Memorix,050767666
MEMSIC B.V.,083017968
Menaco B.V.,034156243
Menar Investments,059187638
Mendix Technology B.V.,024380476
MendriX B.V.,030189917
Menicon Holdings B.V.,034248933
Menlo Coaching B.V.,067038476
Mentha Capital B.V.,032119772
Mentor B.V.,064647323
Mentor Medical Systems B.V.,028062039
Mentorjam B.V.,078105587
Menzies Aviation (Freighter Handling) B.V.,054261635
Merapar Technologies Netherlands B.V.,065577159
Mercantum Medical Care B.V.,032069836
Mercateo Nederland B.V.,054496810
Mercedes-Benz Customer Assistance Center Maastricht N.V.,033014909
Mercedes-Benz Financial Services Nederland B.V.,030079040
Mercedes-Benz Nederland B.V.,030040445
Mercell Nederland B.V.,030148169
Mercer (Nederland) B.V.,033272848
Merck B.V.,027155873
Merck Chemicals B.V.,034089667
Merck Life Science N.V.,023080466
Merck Sharp & Dohme B.V.,034028461
Merck Sharp & Dohme International Services B.V.,034086169
Merck Ventures B.V.,061910929
Mercury Engineering B.V.,034311486
Mercury Trade Credit Nederland B.V.,062733869
Meridia Land B.V.,062431331
Meridian Capital NL B.V.,053569660
Meridian IT B.V.,001093603
Merino Consulting Services B.V.,058077812
Merit Medical Nederland B.V.,017095988
Merkator B.V.,030250256
Merkle Nederland CRM,024171390
Merlin Security Services B.V.,030259118
Merus N.V.,030189136
Merwede Valves B.V.,024368342
Mesh B.V.,077669886
Mesoline B.V.,072152729
Messagebird B.V.,051874474
Mesta B.V.,054314437
Mesut Supermarkt,072902655
Metaaltechniek Handelsonderneming B.V.,031039479
Metabolic B.V.,070539952
MetaChef B.V.,076311392
Metaco Europe B.V.,067880584
MetaFactory B.V.,063064707
Metaflex Doors Europe B.V.,009052999
Metalcon B.V.,058382666
Metalot Future Energy Lab B.V.,078324572
MetaMeta Communications B.V.,017167598
MetaMeta Research B.V.,017167588
Metapol,008081641
MetaSensing B.V.,053828984
"METAWATER Co., Ltd.",060988568
Meteenzorg B.V.,072111151
methetnet B.V.,066591880
Metinvest B.V.,024321697
Metrica Sports B.V.,060835869
Metrics Matter B.V.,085636770
MetrixLab B.V.,024293853
MetrixLab Nederland B.V.,059608838
Metro Cash & Carry International Holding B.V.,033212405
Metro Cash & Carry Nederland B.V.,033166133
Metrohm Autolab B.V.,030128927
Metrological Media Innovations B.V.,024429521
Mettler-Toledo B.V.,011014800
Mettom at Work B.V.,055587402
Mettom Heroes B.V.,076536041
Metyis B.V.,057216258
Mews Systems B.V.,066426995
Meyn Food Processing Technology B.V.,035015165
MGA Entertainment (Netherlands) B.V.,034238137
MGC Specialty Chemicals Netherlands B.V.,081482701
MGE-RB (Roermond) Management Co B.V.,034130585
MH Hydraulics B.V.,024232116
MH Poly Consultants & Engineers B.V.,024429486
MHC Mobility B.V.,002037615
MHI International Investment B.V.,034268419
MI Company B.V.,065761855
MI Group B.V.,051942933
MIB Management Services B.V.,030251748
Michael Kors (Europe) B.V.,034301064
Micreos Food Safety B.V.,051815613
Micro Focus Nederland B.V.,066938813
Micro Precision Calibration B.V.,068358318
MicroAlign B.V.,080387128
Microbe&Lab B.V.,070546932
Microflown AVISA B.V.,051520109
Microflown Maritime B.V.,056345054
Microflown Technologies B.V.,028077207
Microimage Europe B.V.,088630358
Micromeritics B.V.,055795544
Micronit B.V.,081259859
Micronit Holding B.V.,008084537
MicroPort Scientific Coöperatief U.A.,058654631
Microsoft B.V.,034061536
Microsoft Datacenter Netherlands B.V.,034143486
Micro-Star Netherlands Holding,017108749
MicroSure B.V.,065436849
Microtek Medical B.V.,008124924
Middle Point B.V.,051745399
Midea Electrics Netherlands B.V.,034385360
midocean,009071860
Midtronics B.V.,030156863
Miele X B.V.,076649288
Mieloo & Alexander B.V.,027194182
Mien Nam B.V.,078631564
MIH Fintech Holdings B.V.,078070902
MIH PayU B.V.,052117839
Mijksenaar B.V.,033237870
Mijn InternetOplossing B.V.,052643573
Mijndomein B.V.,027181493
Mikasa Europe B.V.,082375453
Milabs B.V.,030207515
Milano Infra B.V.,027378436
Milberg Amsterdam B.V.,083137238
Milcare,030113778
Milence Netherlands B.V.,088184544
Milence Research & Development B.V.,088168905
Milence Service Holding B.V.,088168913
MILES international payrolling B.V.,054153670
Mileway B.V.,071555730
Milk Design B.V.,034207265
MillMobile B.V.,034383832
Miltenyi Biotec B.V.,034129685
Mimaki Europe B.V.,024357886
Mimecast Netherlands B.V.,030214369
Mimetas B.V.,053898737
Mind Lane Consulting B.V.,081254261
Mind Your Step Recruitment B.V.,088765903
MindAffect B.V.,059347198
Mindbus B.V.,027247757
Mindray Animal Medical Technology Netherlands B.V.,085749044
Mindray Medical Netherlands B.V.,034280223
MindShare B.V.,034176517
Mindwize B.V.,034166529
Minerva Meettechniek B.V.,052794016
Minivalve International B.V.,008084350
MinPlus B.V.,008072750
"Minton, Treharne & Davies Holland B.V.",064163547
Mintres B.V.,017219845
MIR Architecten,034311985
MIRA Home B.V.,077289366
Mirantis Poland Sp. z o.o.,078018226
MIRhosting B.V.,063945630
Mirzacles IT & Consultancy B.V.,076015319
Mission Produce Europe B.V.,056714424
MisterGreen Products B.V.,034311690
Mistras Group B.V.,027228724
Misuga Kaiun Holland B.V.,024453028
Misys Netherlands Global B.V.,033210232
Mitek Systems B.V.,034242857
Mitel Netherlands B.V.,034194082
Mitra Netherlands B.V.,077507738
Mitrofresh B.V.,051392437
Mitsubishi Electric Automotive Europe,033304945
Mitsubishi Electric Europe B.V.,033279602
Mitsubishi Elevator Europe B.V.,030022258
Mitsubishi Heavy Industries EMEA Ltd.,034109577
Mitsubishi Logisnext Europe B.V.,033274459
Mitsubishi Logistics Europe B.V.,024251379
Mitsubishi Materials Europe B.V.,033289752
Mitsubishi Motors Europe B.V.,034081607
Mitsubishi Nederland B.V.,024126464
Mitsubishi Turbocharger and Engine Europe B.V.,039047752
Mitsui Bussan Gas & Power Solutions B.V.,084300264
Mitsui Prime Advanced Composites Europe B.V.,071819053
Mitsui Rail Capital Europe B.V.,034214164
Mitutoyo Research Center Europe B.V.,030182803
MIURA NETHERLANDS B.V.,061725846
Miyagami B.V.,083283927
Mizkan AMS B.V.,081165005
Mizuho Bank Europe N.V.,033138252
Mizuno Corporation Netherlands,052445097
Mizuno Corporation Netherlands,095559248
Mizuno Nederland B.V.,083974601
MK Support Service B.V.,033177546
MKB Ondernemers B.V.,024379003
MKBiT B.V.,068854897
MKK Europe B.V.,033264839
ML Compliance Services B.V.,067136451
ML Den Bosch B.V.,090715675
MLA+ B.V.,054416469
MLP Newco B.V.,075591480
MM Flowers Europe B.V.,058781803
MM Metal Recycling B.V.,066349389
MMD-Monitors & Displays Nederland B.V.,017237322
MM-Guide B.V.,030126062
Mmid Full Service Design Team B.V.,027249749
MMR Research Worldwide B.V.,074153161
MMS Communications Netherlands B.V.,034138132
Mn Services,027191631
